"Station
Code","Name of the monitoring location","State","Temperature
(°C)","Dissolved
Oxygen
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","Nitrate N
(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"","","","","> 5.0 mg/ L","6.5 - 8.5","","< 3.0 mg/ L","","< 2500 MPN/ 100 Ml","","< 500 MPN/ 100 Ml"
"1001","RIVER BEAS AT U/S MANALI","HIMACHAL
PRADESH","2","18","7.7","8.6","6.9","8.5","72","208","1.0","1.0","0.32","1.09","23","79","140","280","2","2"
"3866","RIVER BEAS U/S BEFORE CONF. OF MANALSU NALLAH","HIMACHAL
PRADESH","2","18","7.6","8.2","7.0","8.4","58","262","1.0","1.0","0.32","0.84","33","94","170","350","2","2"
"4037","RIVER BEAS D/S MANALSU NALLAH","HIMACHAL
PRADESH","2","18","7.6","8.2","6.9","8.5","66","162","1.0","1.0","0.32","1.38","32","110","210","430","2","2"
"2601","RIVER BEAS AT D/S MANALI","HIMACHAL
PRADESH","3","20","7.6","8.3","7.0","8.4","88","956","1.0","2.6","0.32","1.37","280","1600","920","1600","2","2"
"4444","RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT
MANALI","HIMACHAL
PRADESH","3","20","7.6","8.2","7.1","8.1","72","186","1.0","2.8","0.32","1.33","540","1600","1600","1600","2","2"
"4443","RIVER BEAS AT RAISON","HIMACHAL
PRADESH","3","18","7.6","8.4","7.3","8.4","90","196","1.0","1.0","0.32","0.94","34","110","210","540","2","2"
"2602","RIVER BEAS, U/S KULLU","HIMACHAL
PRADESH","3","22","7.6","8.3","7.3","8.2","62","152","1.0","1.1","0.32","1.00","40","130","220","540","2","2"
"1002","RIVER BEAS D/S KULLU","HIMACHAL
PRADESH","4","22","7.5","8.1","7.1","8.4","96","166","1.0","2.4","0.32","1.00","79","920","430","1600","2","2"
"4445","RIVER BEAS D/S OF WASTE PROCESSING FACILITY AT
KULLU","HIMACHAL
PRADESH","3","22","7.6","8.1","7.4","8.3","86","170","1.0","1.0","0.32","0.83","33","94","240","430","2","2"
"5765","River Beas D/S New bajaura Bridge","HIMACHAL
PRADESH","3","17","7.5","8.1","7.0","8.5","86","284","1.0","1.8","0.32","0.77","70","140","350","540","2","2"
"1003","RIVER BEAS D/S AUT","HIMACHAL
PRADESH","5","18","7.6","8.2","7.1","8.5","72","180","1.0","1.0","0.32","0.69","27","140","150","540","2","2"
"1004","RIVER BEAS AT PANDOH DAM","HIMACHAL
PRADESH","8","32","8.0","9.1","6.8","8.3","65","188","1.0","1.0","0.32","1.06","23","58","140","280","2","2"
"2603","RIVER BEAS, D/S PANDOH DAM","HIMACHAL
PRADESH","8","32","6.5","8.9","7.0","8.4","81","402","1.0","1.0","0.32","1.44","34","170","220","920","2","2"
"1550","BEAS RIVER, U/S OF MANDI TOWN","HIMACHAL
PRADESH","8","33","5.5","9.2","6.9","8.5","70","201","1.0","1.0","0.32","1.00","22","43","70","280","2","2"
"1006","RIVER BEAS D/S MANDI TOWN","HIMACHAL
PRADESH","9","30","7.0","8.8","6.9","8.4","86","554","1.0","1.5","0.32","1.09","43","140","280","540","2","2"
"1005","RIVER BEAS AT EXIT OF DEHAR POWER HOUSE","HIMACHAL
PRADESH","9","25","6.8","8.8","7.1","8.4","90","620","1.0","1.0","0.32","0.80","31","79","210","350","2","2"
"2604","RIVER BEAS AT D/S JAISINGHPUR","HIMACHAL
PRADESH","14","20","8.5","9.2","7.1","8.2","196","496","1.0","2.6","0.30","2.39","7","790","110","3500","2","2"
"4435","RIVER BEAS U/S SUJANPUR TIHRA","HIMACHAL
PRADESH","8","16","7.0","8.9","7.3","8.1","160","472","1.0","2.6","0.32","0.95","20","430","70","920","2","2"
"1007","RIVER BEAS AT D/S ALAMPUR","HIMACHAL
PRADESH","14","21","8.5","9.2","7.2","8.0","121","439","1.0","2.3","0.30","2.67","4","700","110","2400","2","2"
"4436","RIVER BEAS D/S SUJANPUR TIHRA","HIMACHAL
PRADESH","8","18","6.9","8.9","7.1","8.1","169","389","1.0","2.2","0.32","1.38","21","220","79","350","2","2"
"4437","RIVER BEAS U/S NADAUM TOWN","HIMACHAL
PRADESH","8","19","7.3","8.9","7.7","8.3","131","423","1.0","2.6","0.32","1.06","24","790","94","1600","2","2"
