"WATER QUALITY DATA OF DRAINS, STPS IN ANDHRA PRADESH MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2355","TEKI DRAIN AT TALLAREVU,
TALLAREVU (V & M), BEFORE JOINING
CORINGA WILDLIFE SANCTUARY","DRAIN","ANDHRA PRADESH","24","27","3.2","6.2","6.3","8.2","526","11900","1.9","4.4","1.02","5.92","3","11","120","240","",""
"3052","GUNTATHIPPA DRAIN B/C WITH RIVES
CANAL AT RAMAVARAPPADU,
VIJAYAWADA TOWN","DRAIN","ANDHRA PRADESH","26","29","0.3","2.2","7.0","7.8","1246","2210","10.2","18.0","4.29","9.60","210","470","2400","2400","39","93"
"3053","TULIA BAGH DRAIN AT MATLAPALEM
(V), VEMULAVADA (M)","DRAIN","ANDHRA PRADESH","24","27","2.2","6.4","6.8","8.0","527","27500","2.2","4.2","0.71","3.07","3","9","75","150","5","5"
"4369","COLLING WATER BLOW DOWNS
FROM ANDHRA SUGARS LTD.,
KOVVUR, BEFORE JOINING RIVER
GODAVARI","DRAIN","ANDHRA PRADESH","25","28","5.3","7.6","5.9","8.3","217","434","1.9","2.3","0.32","1.18","3","4","39","120","",""
"20004","STP AT
RAJAHMUNDRY","STP","ANDHRA PRADESH","","","5.3","7.3","6.9","7.7","545","1144","8.0","14.0","1.60","11.48","4","11","120","240","",""
""
"WATER QUALITY DATA OF DRAINS IN CHANDIGARH MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2047","N-CHOE (ATTAWA CHOE),
CHANDIGARH(EXIT POINT)","DRAIN","CHANDIGARH","15","31","2.8","9.6","7.0","7.7","470","806","2.3","26.0","1.90","2.90","1700","26000","7000","94000","",""
"2048","PATIALA KI RAO, CHANDIGARH(EXIT
POINT)","DRAIN","CHANDIGARH","18","30","0.3","3.5","6.8","7.8","511","1490","24.0","976.0","1.90","3.20","33000","310000","170000","5400000","",""
"2049","SUKHNA CHOE, CHANDIGARH(EXIT
POINT)","DRAIN","CHANDIGARH","15","31","0.3","7.8","6.3","7.8","689","984","9.3","200.0","1.70","3.10","7000","94000","17000","170000","",""
""
"WATER QUALITY DATA OF DRAINS & WTPS IN DELHI MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"1377","NAJAFGARH DRAIN AT WAZIRABAD
BEFORE CONF. TO RIV.YAMUNA,
DELHI","DRAIN","DELHI","","","","","6.9","8.3","","","43.0","78.0","","","","","","","",""
"1502","CIVIL MILL DRAIN, DELHI","DRAIN","DELHI","","","","","7.2","7.2","","","42.0","42.0","","","","","","","",""
"1503","POWER HOUSE DRAIN, DELHI","DRAIN","DELHI","","","","","6.9","8.2","","","38.0","83.0","","","","","","","",""
"1504","SEN NURSING HOME DRAIN, DELHI","DRAIN","DELHI","","","","","7.0","7.7","","","35.0","86.0","","","","","","","",""
"1505","BARAPULA DRAIN, DELHI","DRAIN","DELHI","","","","","6.9","8.1","","","38.0","90.0","","","","","","","",""
"1506","SHAHDARA DRAIN, DELHI","DRAIN","DELHI","","","","","6.9","8.2","","","47.0","120.0","","","","","","","",""
"1857","MAHARANI BAGH DRAIN, DELHI","DRAIN","DELHI","","","","","6.8","7.7","","","40.0","80.0","","","","","","","",""
"1858","SARITA VIHAR, DELHI","DRAIN","DELHI","","","","","7.0","7.6","","","30.0","60.0","","","","","","","",""
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5259","MAGZINE ROAD DRAIN","DRAIN","DELHI","","","","","7.1","7.2","","","12.0","32.0","","","","","","","",""
"5260","SWEEPER COLONY DRAIN","DRAIN","DELHI","","","","","6.9","7.5","","","40.0","72.0","","","","","","","",""
"5261","KHYBER PASS DRAIN","DRAIN","DELHI","","","","","7.0","7.0","","","38.0","38.0","","","","","","","",""
"5262","METCALF HOUSE DRAIN","DRAIN","DELHI","","","","","7.1","7.4","","","22.0","26.0","","","","","","","",""
"5263","ISBT + MORI GATE DRAIN","DRAIN","DELHI","","","","","6.8","7.8","","","39.0","90.0","","","","","","","",""
"5265","SHASTRI PARK DRAIN","DRAIN","DELHI","","","","","7.0","7.9","","","24.0","67.0","","","","","","","",""
"5266","KAILASH NAGAR DRAIN","DRAIN","DELHI","","","","","7.1","7.6","","","35.0","87.0","","","","","","","",""
"5268","ABU FAZAL DRAIN","DRAIN","DELHI","","","","","7.1","7.8","","","38.0","153.0","","","","","","","",""
"5269","JAITPUR DRAIN","DRAIN","DELHI","","","","","7.0","7.7","","","37.0","103.0","","","","","","","",""
"5270","TUGHLAKABAD DRAIN","DRAIN","DELHI","","","","","7.0","7.9","","","36.0","80.0","","","","","","","",""
"5273","OLD AGRA CANAL NEAR KALINDI
KUNJ -SARITA VIHAR PULL","DRAIN","DELHI","","","","","6.8","7.8","","","34.0","110.0","","","","","","","",""
"5275","MOLARBANDH DRAIN","DRAIN","DELHI","","","","","7.4","7.7","","","32.0","48.0","","","","","","","",""
"5276","SONIA VIHAR DRAIN","DRAIN","DELHI","","","","","6.8","8.5","","","33.0","70.0","","","","","","","",""
"3041","WATER WORKS- WAZIRABAD, DELHI","WATER TREATMENT PLANT","DELHI","","","","","7.4","7.9","","","","","0.30","0.58","","","","","",""
"3042","WATER WORKS- SONIA VIHAR, DELHI","WATER TREATMENT PLANT","DELHI","","","","","7.2","7.6","","","","","0.30","0.36","","","","","",""
"3043","WATER WORKS- CHANDRAVAL, DELHI","WATER TREATMENT PLANT","DELHI","","","","","7.4","7.9","","","","","0.30","0.58","","","","","",""
"3044","WATER WORKS- NANGLOI, DELHI","WATER TREATMENT PLANT","DELHI","","","","","7.3","7.7","","","","","0.30","0.34","","","","","",""
"3045","WATER WORKS- HAIDERPUR, DELHI","WATER TREATMENT PLANT","DELHI","","","","","7.3","7.8","","","","","0.30","0.56","","","","","",""
"3046","WATER WORKS- DWARKA, DELHI","WATER TREATMENT PLANT","DELHI","","","","","7.2","7.6","","","","","0.41","0.57","","","","","",""
""
"WATER QUALITY DATA OF STP IN GOA MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"20013","PANAJI STP AT TONCA","STP","GOA","29","29","","","6.9","8.5","","","5.6","15.2","","","79","540","140","920","49","240"
""
"WATER QUALITY DATA OF STP IN GUJARAT MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"20015","AHMEDABAD-1
BENRAMPURAPIRANA ROAD,
AHMEDABAD","STP","GUJARAT","26","32","","","6.8","8.0","","","7.0","45.0","","","170","1600","350","1600","",""
