"Water Quality data of Medium & Minor River Monitored Under NWMP-2024"
"STN Code","Monitoring Location","River","State Name","Temperature
(°C)","Dissolved
O2 (mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"1448","RIVER NAGAVALI AT THOTAPALLI REGULATOR, THOTAPALLI (VN)A, GGAARVUAGLIU BILLI (AMN)","","DHRA PRADESH","26","35","5.5","8.2","6.3","8.09","157","393","1.4","2.5","0.5","1.7","3","7","64","150","1.8","3"
"2352","RIVER VAMSADHARA, GARA (V & M)","VAMSADHARA","ANDHRA PRADESH","25","32","6","7.7","7.12","8.46","160","387","1.7","2.6","0.32","0.81","3","7","64","150","1.8","3"
"4346","","RIVER NAGAVALI NEAR NH- 16 BRIDGE, UPSTREAM (U/S) OF SNRAIKGAAKVUALLAI M TOWANN,D BHERFOA RPER ACODNESFHLU ENCE OF TO2W5 N SEW32A GE","","","","4.6","7.5","7.04","8.43","328","432","1.7","2.9","0.32","2.06","3","7","75","150","1.8","3"
"4347","","RIVER NAGAVALI NEAR WATER PUMP HOUSE (KILLIPALEM) , DNOAWGANV SATLRI EAM (DA/NSD) OHFR ASR PIRKAADKUESLHA M TOWN, AF2T4E R CON33F LUEN6C.5E  OF 7T.O5 WN7 S.E1W7 AG8E.","","","","","","","41","267","670","1.7","2.8","0.32","2.51","3","9","120","240","1.8","3"
"4348","","RIVER VAMSADHARA, IMMEDIATE BORDER BETWEEN ANDHVRAAM PSRAADDHEASRHA &  ORAISNSDAH SRTAA TPERSA, DNEESAHR  LALITHAMB2A4 T EMP3L4E,  BATT6I LI (V7) .B5H AM6I.N94I  (M8)","","","","","","",".23","162","395","1.1","2.4","0.3","1.17","3","7","93","150","1.8","3"
"4351","","RIVER NAGAVALI IMMEDIATE BORDER BETWEEN ANDHRA PRNAADGESAHV A&L OI RISSA ASNTADTHERSA, N PERAARD SEISVHA LAYAM, KUN24E RU (V3),5 K OMA5R ADA 7(M )","","","","","","6.11","8.22","190","343","1.3","2.5","0.46","2.36","3","7","75","240","1.8","3"
"1393","RIVER DAMANGANGA AT D/S OF MADHUBAN, DAMAN","DAMANGANGA","DAMAN AND DIU, DADRA AND 2N4A GAR2 9H.A9 VELI","","","4","7.4","7.34","8.42","171","292","1","1","0.32","0.53","2","13","40","170","1.8","6"
"2459","RIVER DAMANGANGA AT ZARI CAUSE WAY BRIDGE, DAMADN","AMANGANGA","DAMAN AND DIU, DADRA AND 2N4A GAR3 0H.A1 VEL3I","","",".2","7.5","7.28","8.12","172","20000","1","8","0.36","2.9","11","900","110","1600","4","280"
"2460","RIVER DAMANGANGA AT DISCHARGE POINT OF DISTILLERYD, ADMAMANANG","ANGA","DAMAN AND DIU, DADRA AND 2N4A GAR 3H0A VEL2I","","",".5","5.3","7.6","7.99","3620","20000","2.2","9","0.36","2.4","900","900","1600","1600","300","500"
"2461","RIVER DAMANGANGA AT DAMAN JETTY, MOTI DAMAN","DAMANGANGA","DAMAN AND DIU, DADRA AND 2N4A GAR 3H0A VEL4I","","",".1","7.5","7.52","8.1","198","20000","1","10","0.38","2.75","110","1600","350","1600","1.8","170"
"2462","RIVER DAMANGANGA AT VAPI WEIR, VAPI, DAMAN","DAMANGANGA","DAMAN AND DIU, DADRA AND 2N5A GAR3 0H.A3 VEL5I","","",".8","7.4","7.7","8.3","154","3171","1","3","0.32","1.82","60","280","140","540","26","140"
"2463","RIVER DAMANGANGA AT LAVACHA TEMPLE, SILVASSA","DAMANGANGA","DAMAN AND DIU, DADRA AND 2N6A GAR 3H1A VEL5I","","",".8","7.5","7.81","8.67","236","3223","1","4","0.32","1.45","6","280","84","540","2","26"
"2464","RIVER DAMANGANGA D/S OF M/S SURAT BEVERAGES, VILLDAAGME ADNAGDARNA,G SAIL VASDSAA","","MAN AND DIU, DADRA AND 2N6A GAR3 0H.A3 VEL5I","","",".6","7.5","7.75","8.47","177","3522","1","2","0.33","0.74","70","500","110","540","50","280"
"2465","RIVER DAMANGANGA AT NAROLI BRIDGE, SILVASSA","DAMANGANGA","DAMAN AND DIU, DADRA AND 2N4A GAR3 1H.A2 VEL4I","","",".9","7.6","7.79","8.5","165","2557","1","2","0.3","0.38","2","50","110","220","2","9"
"2466","RIVER DAMANGANGA AT VILLAGE NAMDHA, VAPI","DAMANGANGA","DAMAN AND DIU, DADRA AND 2N6A GAR 3H0A VEL1I","","",".9","6.9","7.53","7.98","177","5980","1","6","0.37","2.64","60","900","110","920","21","350"
"30040","","RIVER DAMAN GANGA AT ZERI CAUSEWAY BRIDGE, DAMANDA (GMUAJNAGRAATN GANA D UTD OAFM DAANM AANND, DDIIUU,,D DAADDARRA & A NNADG 2NA4A RG HAARV 3HE0AL IV AENL2ID .7 G UJA6R.3A T)","","","","","","7.56","7.78","256","12728","2.2","9.5","0.32","7.64","9400","540000","14000","16000000","",""
"1399","RIVER ZUARI AT CORTALIM","ZUARI","GOA","28","30","4.8","7.5","6.75","8.5","3687","55770","1","1.7","0.32","2.82","200","2300","450","3300","78","490"
"1400","RIVER MANDOVI AT PANAJI","MANDOVI","GOA","28","35","4.5","8.6","6.72","8.23","907","68570","1","1.9","0.32","0.72","68","1700","110","2200","49","230"
"1475","RIVER ZUARI AT PANCHAWADI","ZUARI","GOA","27","30","4.7","8","6.23","7.63","59","23200","1","1.9","0.32","0.48","200","1700","450","5400","110","350"
"1476","RIVER MANDOVI AT TONCA","MANDOVI","GOA","28","33","5","7.8","6.53","7.75","108","48340","1","1.7","0.32","0.92","220","1300","310","5400","70","230"
"1543","RIVER KALNA AT CHANDEL","KALNA","GOA","28","31","3.9","7.8","6.71","7.7","46","1212","1","1.7","0.32","0.32","780","2300","1400","4900","110","490"
"1544","RIVER VALVANTI AT SANQUELIM","VALVANT","GOA","27","30","5.9","8.1","6.28","7.37","43","76","1","1.9","0.32","0.4","1100","2300","1700","7900","110","230"
"1545","RIVER MADEI AT DABOS","MADEI","GOA","26","31","5.2","8.1","5.93","7.6","47","134","1","1.7","0.32","0.36","490","1700","1300","4900","110","210"
