"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"1790","PULICATE LAKE, SRIHARI KOTA,
SULLURUPETA (M)","LAKE","ANDHRA PRADESH","23","29","5.1","6.1","7.2","8.0","25200","34200","1.0","1.7","0.52","0.96","26","50","142","210","",""
"2353","KONDAKARLA-AAVA LAKE,
KONDAKARLA,
VISHAKHAPATNAM","LAKE","ANDHRA PRADESH","25","28","4.5","6.5","7.1","8.1","598","1102","2.0","2.8","1.40","2.82","3","7","64","150","2","3"
"4368","KOLLERU LAKE,
KOKKIRAYALANKA (V), KAILALUR
(M)","LAKE","ANDHRA PRADESH","24","28","1.7","4.0","7.0","7.8","1186","1624","2.0","3.8","1.62","4.99","3","7","75","120","",""
"5145","DEVUNI KADAPA CHERUVU,
PATHA KADAPA, KADAPA TOWN","LAKE","ANDHRA PRADESH","19","28","5.1","8.2","7.6","8.2","497","1630","1.0","2.8","0.32","0.38","53","258","125","816","",""
"5146","VONTIMITTA CHERUVU, NEAR
KODANDA RAMALAYAM,
VONTIMITTA (V & M)","LAKE","ANDHRA PRADESH","21","22","5.4","5.6","7.8","7.9","871","972","1.7","2.0","0.35","0.49","182","251","575","722","",""
"5147","PALASAMUDRAM LAKE,
PALASAMUDRAM (V),
PENUKONDA (M)","LAKE","ANDHRA PRADESH","22","29","5.2","8.4","7.0","8.3","257","766","1.0","2.5","0.32","0.43","86","238","204","816","",""
"5148","SINGANAMALA CHERUVU,
SINGANAMALA (V & M)","LAKE","ANDHRA PRADESH","22","27","5.0","8.6","7.6","8.8","1390","2029","1.8","4.8","0.34","2.41","121","278","322","866","",""
"5152","CUMBUM CHERUVU, CUMBUM
(V & M)","LAKE","ANDHRA PRADESH","23","31","6.8","7.8","7.3","8.2","312","657","2.3","2.9","0.86","1.19","7","21","64","150","2","2"
"5153","BUDAMPADU CHERUVU,
BUDAMPADU (V), GUNTUR","LAKE","ANDHRA PRADESH","22","26","6.7","7.6","7.3","8.3","648","1426","2.6","2.9","1.47","2.59","9","23","64","240","2","2"
"5157","PAMPULA CHERUVU,NEAR
MUNICIPAL QUARTERS,
MACHILIPATNAM TOWN","LAKE","ANDHRA PRADESH","26","32","6.7","7.6","7.6","8.3","615","952","2.4","2.9","0.98","1.40","9","23","93","150","2","2"
"5159","GARGEYAPURAM LAKE
GARGEYAPURAM (V), KURNOOL
(M)","LAKE","ANDHRA PRADESH","21","27","5.0","8.1","7.2","8.4","437","1209","1.0","2.8","0.36","5.18","82","275","211","866","",""
"5161","KOTI CHERUVU, BOBBILI (V & M)","LAKE","ANDHRA PRADESH","23","32","4.5","9.0","7.1","7.9","440","911","2.0","4.8","0.76","5.00","3","9","120","460","5","5"
"5668","Kotnuru Cheruvu, Hindupur","LAKE","ANDHRA PRADESH","21","27","4.1","8.2","6.7","8.2","737","1228","1.5","4.9","0.40","3.98","100","273","230","866","",""
"5669","Kothacheruvu, Chitravathi River,
Puttaparthy","LAKE","ANDHRA PRADESH","21","28","4.5","8.1","7.1","8.5","731","1220","1.7","2.5","0.33","0.90","108","293","281","870","",""
"5670","Ganganeru Cheruvu Ganganeru
Village Rachapalli Post &
Panchayath Ramapuram Mandal
Raychoty Taluka Annamayya Dist
Andhra Pradesh","LAKE","ANDHRA PRADESH","21","28","4.8","5.6","7.8","8.2","885","1333","1.7","2.0","0.37","1.15","238","312","727","914","",""
"5672","Thondamandu Lake,Nellore","LAKE","ANDHRA PRADESH","23","28","5.1","5.7","7.2","8.0","432","836","1.2","1.8","0.35","0.89","133","243","313","770","",""
"4391","CHENGAMBAKAM TANK IN SRI
CITY SEZ, IRUGULAM (V)","TANK","ANDHRA PRADESH","24","29","5.3","6.3","6.9","8.2","339","541","1.1","1.4","0.35","0.67","51","182","343","602","",""
"STN Code","Monitoring Location","Type Water
Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity (µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform (MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5150","NELLORE SWARNALA CHERUVU
(NELLORE TANK),NEAR
BARASHAHID DARGHA, NELLORE
TOWN","TANK","ANDHRA PRADESH","19","32","5.9","7.3","6.7","7.9","1011","1380","1.5","2.9","1.41","2.65","15","23","111","210","2","2"
"5156","BRAHMAIAHLINGAM CHERUVU
AT NARASINGAPALEM (V),
AGIRIPALLI?(M)","TANK","ANDHRA PRADESH","23","26","6.2","6.8","7.3","8.1","402","840","2.0","2.9","0.98","1.31","3","21","75","150","2","2"
"1263","ELANGABEEL SYSTEM
(CONNECTED TO R. KOLONG),
ASSAM","LAKE","ASSAM","16","30","2.3","6.0","6.7","7.8","244","524","2.3","4.3","0.90","1.80","300","620","910","1500","95","210"
"1529","DEEPOR BEEL NEAR DHARAPUR
CHARIALI, GUWAHATI, ASSAM","LAKE","ASSAM","20","31","4.2","10.6","6.9","7.9","232","422","5.0","5.8","1.00","1.80","360","940","910","2000","120","290"
"2205","MER BEEL AT MADHABPUR,
ASSAM","LAKE","ASSAM","21","30","4.6","9.8","6.8","7.9","92","136","1.9","2.6","0.60","1.20","300","360","910","1200","95","120"
"2206","DALONI BEEL NEAR JOGIGHOPA,
ASSAM","LAKE","ASSAM","22","31","5.1","5.6","6.9","7.6","140","164","2.0","2.7","0.60","1.20","300","360","610","1200","95","120"
"2207","BOR BEEL AT JAKAI, ASSAM","LAKE","ASSAM","19","30","4.3","8.7","6.8","7.5","110","170","2.0","2.5","0.70","1.40","300","360","910","1100","75","150"
"2215","SARAN BEEL, ASSAM","LAKE","ASSAM","19","34","4.8","10.1","6.8","7.9","84","104","2.0","2.6","0.60","1.60","120","360","720","1400","4","150"
"2218","DEEPAR BEEL AT BORAGAON
NEAR IASST, GUWAHATI, ASSAM","LAKE","ASSAM","21","31","4.7","10.2","6.9","8.0","240","318","5.2","6.0","1.00","2.40","300","730","720","1500","120","240"
"2220","CHAND DUBI BEEL, CHAND DUBI,
ASSAM","LAKE","ASSAM","21","33","5.0","10.3","7.0","7.9","90","142","2.0","2.5","0.70","1.20","300","620","910","1600","95","210"
"3783","MAGURI BEEL, GUIJAN, TINSUKIA","LAKE","ASSAM","18","28","3.9","7.6","6.7","7.8","96","140","2.0","2.5","0.60","1.20","300","930","910","1900","95","290"
"3787","HOLUDUNGA BEEL NEAR GAI
NADI/ RIVER AT SOMARAJAN,
DHEMA JI","LAKE","ASSAM","20","30","4.9","8.6","6.8","7.4","116","192","1.8","2.6","0.60","1.00","300","360","910","1500","95","150"
"3789","BORDOIBAM BEELMUKH BIRD
SANCTUARY, DHEMAJI","LAKE","ASSAM","21","29","5.0","8.6","6.8","7.8","120","150","1.9","2.6","0.60","1.10","300","620","910","1500","95","240"
"3798","SAMAGURI BEEL IN NAGAON
DISTRICT","LAKE","ASSAM","17","32","5.0","11.1","6.7","7.6","90","148","2.0","2.8","0.60","1.60","300","360","730","1500","95","150"
"3800","MALINI BEEL NEAR INDUTRIAL
AREA AT RAMNAGAR","LAKE","ASSAM","21","24","5.0","5.6","6.4","6.9","128","156","2.0","2.5","0.60","1.40","300","620","720","1500","95","210"
"3804","SON BEEL WATER AT
KARIMGANJ","LAKE","ASSAM","20","24","5.2","6.1","6.7","7.2","122","144","2.0","2.7","0.60","1.10","300","360","910","1300","95","120"
