"Water Quality Data of Ground Water in Andhra Pradesh Monitored under NWMP-2024"
"STN Code","Monitoring Location","State Name","Temperature
(°C)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Total Dissolved
Solids (mg/L)","Fluoride
(mg/L)","Arsenic (mg/L)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"BIS IS 10500 : 2012 Drinking Water -Specification","-","6.5-8.5","-","-","< 45 mg/L","-","-","< 2000 mg/L","< 1.5 mg/L","< 0.05 mg/L"
"26","BORE WELL AT KANURU PANCHAYAT,
VIJAYAWADA","ANDHRA PRADESH","26","28","7.36","7.48","2384","2498","1.8","2.2","2.1","2.22","3","3","7","11","1390","1463","0.69","0.82","0.00049","0.00049"
"1513","BORE WELL AT AUTONAGAR,
VIJAYAWADA.( IN THE R/O OF MR
SATYANARAYANA PLOT NO:79 H.NO:74-1-
7/2C,AUTO NAGAR VIJAYAWADA)","ANDHRA PRADESH","24","27","7.36","7.52","2074","2138","1.7","2","2.17","2.26","3","3","9","11","1220","1280","0.68","0.73","0.00049","0.00049"
"1514","BORE WELL AT AUTONAGAR,
VIJAYAWADA.
( IN THE R/O OF MR. VIJAY KUMAR)","ANDHRA PRADESH","25","26","7.46","7.53","2148","2210","2.1","2.3","2.51","2.59","3","3","9","11","1260","1340","0.69","0.71","0.00049","0.00049"
"1516","BOREWELL OF NAVLOK GARDENS,
NELLORE TOWN","ANDHRA PRADESH","28","30","7.76","7.9","1120","1260","1","1.9","1.37","5.95","1.8","4","10","12","664","736","0.69","0.75","0.00049","0.00049"
"1517","BOREWELL NEAR TUNGBHADRA RIVER,
MAMIDALAPADU (V), KURNOOL (M)","ANDHRA PRADESH","24","25","7.6","7.9","2365","4130","1","1.1","3.05","12.3","1.8","1.8","4","11","1365","2721","0.5","0.62","",""
"1518","BOREWELL AT NANDYAL TOWN","ANDHRA PRADESH","24","25","7.2","7.7","5940","6445","1","1","4.97","8.3","2","3","10","17","3540","3800","0.6","1.08","",""
"1519","BOREWELL AT NAGIRI TOWN","ANDHRA PRADESH","26","27","7.2","7.4","1832","1854","1","1","6.76","9.72","1.8","1.8","6","8","1021","1022","0.66","0.69","",""
"1520","BOREWELL NEAR SWARNAMUKHI RIVER
AT SRIKALAHASTI TOWN","ANDHRA PRADESH","26","28","7.5","7.5","1053","1095","1","1","0.76","0.87","1.8","1.8","9","12","599","608","0.62","0.77","",""
